_id,OCCUPANCY_DATE,ORGANIZATION_ID,ORGANIZATION_NAME,SHELTER_ID,SHELTER_GROUP,LOCATION_ID,LOCATION_NAME,LOCATION_ADDRESS,LOCATION_POSTAL_CODE,LOCATION_CITY,LOCATION_PROVINCE,PROGRAM_ID,PROGRAM_NAME,SECTOR,PROGRAM_MODEL,OVERNIGHT_SERVICE_TYPE,PROGRAM_AREA,SERVICE_USER_COUNT,CAPACITY_TYPE,CAPACITY_ACTUAL_BED,CAPACITY_FUNDING_BED,OCCUPIED_BEDS,UNOCCUPIED_BEDS,UNAVAILABLE_BEDS,CAPACITY_ACTUAL_ROOM,CAPACITY_FUNDING_ROOM,OCCUPIED_ROOMS,UNOCCUPIED_ROOMS,UNAVAILABLE_ROOMS,OCCUPANCY_RATE_BEDS,OCCUPANCY_RATE_ROOMS
7512712,2022-01-01,24,COSTI Immigrant Services,40,COSTI Reception Centre,1103,SSHA North York West Hotel Program,1677 Wilson Ave,M3L 1A5,North York,ON,16192,COSTI North York West Hotel Program - Men,Men,Emergency,Motel/Hotel Shelter,COVID-19 Response,49,Room Based Capacity,,,,,,48.0,55.0,48.0,0.0,7.0,,100.0
7512713,2022-01-01,24,COSTI Immigrant Services,40,COSTI Reception Centre,1103,SSHA North York West Hotel Program,1677 Wilson Ave,M3L 1A5,North York,ON,16191,COSTI North York West Hotel Program - Mixed Adult,Mixed Adult,Emergency,Motel/Hotel Shelter,COVID-19 Response,18,Room Based Capacity,,,,,,9.0,15.0,9.0,0.0,6.0,,100.0
7512714,2022-01-01,24,COSTI Immigrant Services,40,COSTI Reception Centre,1103,SSHA North York West Hotel Program,1677 Wilson Ave,M3L 1A5,North York,ON,16193,COSTI North York West Hotel Program - Women,Women,Emergency,Motel/Hotel Shelter,COVID-19 Response,18,Room Based Capacity,,,,,,18.0,29.0,18.0,0.0,11.0,,100.0
7512715,2022-01-01,24,COSTI Immigrant Services,40,COSTI Reception Centre,1051,COSTI Reception Centre,100 Lippincott St,M5S 2P1,Toronto,ON,12251,COSTI Reception Centre CITY Program,Mixed Adult,Emergency,Shelter,Base Shelter and Overnight Services System,8,Bed Based Capacity,8.0,8.0,8.0,0.0,0.0,,,,,,100.0,
7512716,2022-01-01,24,COSTI Immigrant Services,40,COSTI Reception Centre,1114,COSTI Uptown Hotel Program,55 Hallcrown Pl,M2J 4R1,North York,ON,15372,COSTI Uptown Hotel COVID-19 - Family Program,Families,Emergency,Motel/Hotel Shelter,COVID-19 Response,294,Room Based Capacity,,,,,,107.0,113.0,107.0,0.0,6.0,,100.0
7512717,2022-01-01,24,COSTI Immigrant Services,40,COSTI Reception Centre,1114,COSTI Uptown Hotel Program,55 Hallcrown Pl,M2J 4R1,North York,ON,13751,COSTI Uptown Hotel Family Program,Families,Emergency,Motel/Hotel Shelter,Temporary Refugee Response,336,Room Based Capacity,,,,,,106.0,107.0,106.0,0.0,1.0,,100.0
7512718,2022-01-01,24,COSTI Immigrant Services,40,COSTI Reception Centre,1114,COSTI Uptown Hotel Program,55 Hallcrown Pl,M2J 4R1,North York,ON,16535,COSTI Uptown Hotel Program - Refugee Singles,Mixed Adult,Emergency,Motel/Hotel Shelter,Temporary Refugee Response,13,Room Based Capacity,,,,,,13.0,13.0,13.0,0.0,0.0,,100.0
7512719,2022-01-01,14,Christie Ossington Neighbourhood Centre,22,Christie Ossington Men's Hostel,1160,CONC Etobicoke Hotel Program,445 Rexdale Blvd,M9W 6P8,Etobicoke,ON,16111,CONC Etobicoke Hotel Program - Mixed Adult,Mixed Adult,Emergency,Motel/Hotel Shelter,COVID-19 Response,149,Room Based Capacity,,,,,,145.0,155.0,145.0,0.0,10.0,,100.0
7512720,2022-01-01,14,Christie Ossington Neighbourhood Centre,22,Christie Ossington Men's Hostel,1172,CONC West End Hotel Program,14 Roncesvalles Ave,M6R 2K3,Toronto,ON,15711,CONC Men's Hotel Program,Men,Emergency,Motel/Hotel Shelter,COVID-19 Response,38,Room Based Capacity,,,,,,38.0,40.0,38.0,0.0,2.0,,100.0
7512721,2022-01-01,14,Christie Ossington Neighbourhood Centre,22,Christie Ossington Men's Hostel,1029,CONC Men's Shelter Lansdowne Ave,973 Lansdowne Ave,M6H 3Z5,Toronto,ON,12011,Christie Ossington Men's Hostel,Men,Emergency,Shelter,Base Shelter and Overnight Services System,32,Bed Based Capacity,32.0,33.0,32.0,0.0,1.0,,,,,,100.0,
